,artist,song
0, Mark Ronson featuring Bruno Mars ,Uptown Funk
1, Ed Sheeran ,Thinking Out Loud
2, Wiz Khalifa featuring Charlie Puth ,See You Again
3, Fetty Wap ,Trap Queen
4, Maroon 5 ,Sugar
5, Walk the Moon ,Shut Up and Dance
6, Taylor Swift ,Blank Space
7, Silentó ,Watch Me
8, The Weeknd ,Earned It
9, The Weeknd ,The Hills
10, OMI ,Cheerleader
11, The Weeknd ,Can't Feel My Face
12, Ellie Goulding ,Love Me Like You Do
13, Hozier ,Take Me to Church
14, Taylor Swift featuring Kendrick Lamar ,Bad Blood
15, Major Lazer and DJ Snake featuring MØ ,Lean On
16, Jason Derulo ,Want to Want Me
17, Taylor Swift ,Shake It Off
18, Skrillex and Diplo featuring Justin Bieber ,Where Are Ü Now
19, Rachel Platten ,Fight Song
20, Fetty Wap featuring Remy Boyz ,679
21, Meghan Trainor ,Lips Are Movin
22, Fifth Harmony featuring Kid Ink ,Worth It
23, Omarion featuring Chris Brown and Jhené Aiko ,Post to Be
24, Andy Grammer ,"Honey, I'm Good."
25, Sam Smith ,I'm Not the Only One
26, Selena Gomez featuring A$AP Rocky ,Good for You
27, Meghan Trainor ,All About That Bass
28, Taylor Swift ,Style
29, Drake ,Hotline Bling
30," David Guetta featuring Nicki Minaj, Bebe Rexha, and Afrojack ",Hey Mama
31, Flo Rida featuring Sage the Gemini and Lookas ,G.D.F.R.
32, Justin Bieber ,What Do You Mean?
33, Ed Sheeran ,Photograph
34, Adele ,Hello
35, Shawn Mendes ,Stitches
36, Tove Lo ,Talking Body
37, Nick Jonas ,Jealous
38, Pitbull and Ne-Yo ,Time of Our Lives
39, R. City featuring Adam Levine ,Locked Away
40, Natalie La Rose featuring Jeremih ,Somebody
41," Rihanna, Kanye West, and Paul McCartney ",FourFiveSeconds
42, Fall Out Boy ,Centuries
43, Fetty Wap featuring Monty ,My Way
44, Sam Hunt ,Take Your Time
45, Maroon 5 ,Animals
46, Big Sean featuring E-40 ,I Don't Fuck with You
47, Rihanna ,Bi**h Better Have My Money
48, Rich Homie Quan ,"Flex (Ooh, Ooh, Ooh)"
49, T-Wayne ,Nasty Freestyle
50," Nicki Minaj featuring Drake, Lil Wayne, and Chris Brown ",Only
51, Sia ,Elastic Heart
52, Demi Lovato ,Cool for the Summer
53, X Ambassadors ,Renegades
54, Usher featuring Juicy J ,I Don't Mind
55, Ariana Grande and The Weeknd ,Love Me Harder
56, Taylor Swift ,Wildest Dreams
57, Sam Smith ,Stay with Me
58, DJ Snake and AlunaGeorge ,You Know You Like It
59, Fall Out Boy ,Uma Thurman
60, Beyoncé ,7/11/2016
61, Selena Gomez ,The Heart Wants What It Wants
62, Little Big Town ,Girl Crush
63, Trey Songz ,Slow Motion
64, One Direction ,Drag Me Down
65, Nicki Minaj featuring Drake and Lil Wayne ,Truffle Butter
66, Ariana Grande ,One Last Time
67, Nick Jonas ,Chains
68, Meek Mill featuring Chris Brown and Nicki Minaj ,All Eyes on You
69, Rae Sremmurd ,No Type
70, Vance Joy ,Riptide
71, Jidenna featuring Roman GianArthur ,Classic Man
72, Elle King ,Ex's & Oh's
73, Meghan Trainor ,Dear Future Husband
74, Charlie Puth featuring Meghan Trainor ,Marvin Gaye
75, Meghan Trainor featuring John Legend ,Like I'm Gonna Lose You
76, Tove Lo ,Habits (Stay High)
77, James Newton Howard featuring Jennifer Lawrence ,The Hanging Tree
78, O.T. Genasis ,CoCo
79," Jessie J, Ariana Grande, and Nicki Minaj ",Bang Bang
80, Sam Smith ,Lay Me Down
81, ILoveMakonnen featuring Drake ,Tuesday
82, iLoveMemphis ,Hit the Quan
83," Macklemore and Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee, and Grandmaster Caz ",Downtown
84, Sam Hunt ,House Party
85, Chris Brown and Tyga ,Ayo
86, Luke Bryan ,Kick the Dust Up
87, Big Sean featuring Drake ,Blessings
88, George Ezra ,Budapest
89, Sia ,Chandelier
90, Kelly Clarkson ,Heartbeat Song
91, Ed Sheeran ,Don't
92, Ella Henderson ,Ghost
93, Alessia Cara ,Here
94, Mr Probz ,Waves
95, Nicky Jam and Enrique Iglesias ,El Perdón
96, Ne-Yo featuring Juicy J ,She Knows
97, One Direction ,Night Changes
98, Drake ,Back to Back
99, Calvin Harris and Disciples ,How Deep Is Your Love
100,Sam Smith & Kim Petras,Unholy
101,Queen,Face It Alone
102,David Guetta & Bebe Rexha,I'm Good (Blue)
103,Kane Brown & Katelyn Brown,Thank God
104,HARDY & Lainey Wilson,wait in the truck
105,Jelly Roll,Son Of A Sinner
106,Christina Perri,A Thousand Years
107,Fleetwood Mac,Everywhere
108,Morgan Wallen,You Proof
109,Charlie Puth & Jung Kook,Left and Right
110,Sia,Unstoppable
111,OneRepublic,I Ain't Worried
112,Morgan Wallen,Wasted On You
113,Beyoncé,CUFF IT
114,Bailey Zimmerman,Fall In Love
115,Ed Sheeran,Shivers
116,Cole Swindell,She Had Me At Heads Carolina
117,Luke Combs,The Kind of Love We Make
118,Chris Brown,Under the Influence
119,Eminem,Lose Yourself
120,Lady Gaga & Bradley Cooper,Shallow
121,Rascal Flatts,Life Is a Highway
122,Harry Styles,As It Was
123,Nicki Minaj,Super Freaky Girl
124,Nicky Youre & Dazy,Sunroof
125,Lizzo,About Damn Time
126,Jax,Victoria’s Secret
127,Zach Bryan,Something in the Orange (Z&E's Version)
128,Ed Sheeran,Celestial
129,Ellie Goulding,Love Me Like You Do
130,Jordan Davis,What My World Spins Around
131,Post Malone,I Like You (A Happier Song) [feat. Doja Cat]
132,Elton John & Britney Spears,Hold Me Closer
133,Lee Brice,Soul
134,CAIN,I'm So Blessed (Best Day Remix)
135,Jordan Davis,Next Thing You Know
136,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)
137,Bailey Zimmerman,Rock and a Hard Place
138,Marshmello & Khalid,Numb
139,Lizzo,2 Be Loved (Am I Ready)
140,Bread,Make It With You
141,The Weeknd,Earned It
142,Phil Collins,You'll Be In My Heart
143,Kenshi Yonezu,KICK BACK
144,Bruno Mars,It Will Rain
145,Dean Lewis,How Do I Say Goodbye
146,Zach Bryan,Something in the Orange
147,HARDY,the mockingbird & THE CROW
148,Steve Lacy,Bad Habit
149,Lady Gaga,Always Remember Us This Way
150,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem)
151,Lauren Spencer Smith,Fingers Crossed
152,Megan Moroney,Tennessee Orange
153,Bailey Zimmerman,Never Leave
154,The Citizens of Halloween,This Is Halloween
155,HARDY,TRUCK BED
156,Imagine Dragons,Bones
157,Lil Yachty,Poland
158,Kate Bush,Running Up That Hill (A Deal with God)
159,Lewis Capaldi,Forget Me
160,Tyler Childers,Way of the Triune God (Hallelujah Version)
161,Jackson Dean,Don’t Come Lookin’
162,"Drake, Kanye West, Lil Wayne & Eminem",Forever
163,Harry Styles,Late Night Talking
164,Chris Stapleton,Tennessee Whiskey
165,Colton Dixon,Build a Boat
166,Israel Kamakawiwo'ole,Somewhere Over the Rainbow
167,Coolio,Gangsta's Paradise (feat. L.V.)
168,Thomas Rhett,Half Of Me (feat. Riley Green)
169,Chris Stapleton,Joy of My Life
170,Transformation Worship,Eagle (feat. KB)
171,David Guetta & Bebe Rexha,I'm Good (Blue)
172,Blake Shelton,No Body
173,"Bobby ""Boris"" Pickett & The Crypt-Kickers",Monster Mash
174,HARDY,here lies country music
175,Beyoncé,CUFF IT
176,Tyler Hubbard,5 Foot 9
177,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
178,Russell Dickerson & Jake Scott,She Likes It (feat. Jake Scott)
179,blink-182,All the Small Things
180,Grupo Frontera,No Se Va (En Vivo)
181,Cody Johnson,'Til You Can't
182,Bad Bunny,Tití Me Preguntó
183,Armani White,BILLIE EILISH.
184,GloRilla & Cardi B,Tomorrow 2
185,Jazmine Sullivan,Bust Your Windows
186,Don Louis,Neon You
187,AJR,World's Smallest Violin
188,Ingrid Andress & Sam Hunt,Wishful Drinking
189,Luke Bryan,Country On
190,Green Day,"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands & Company)"
191,Rachael Lampa,Perfectly Loved (feat. TobyMac)
192,JVKE,golden hour
193,Auli'i Cravalho,How Far I'll Go
194,Charli XCX,Boom Clap
195,Chris Stapleton,You Should Probably Leave
196,Yung Gravy,Betty (Get Money)
197,Rema & Selena Gomez,Calm Down
198,"Bette Midler, Sarah Jessica Parker & Kathy Najimy",One Way or Another (Hocus Pocus 2 Version)
199,Jimmie Allen,down home
